"","LID","PolyLocation"
"340",312,"Blankenship CA"
"341",10042,"Sand Dune"
"342",10614,"Castle Rock Cliffs"
"343",892,"Split Rock"
"344",10498,"Hidden Valley Resort"
"345",893,"Double Barrel Cove"
"346",10142,"Picture Rock (river)"
"347",10366,"Trampas AZ"
"348",10064,"Trampas (river)"
"349",10679,"Butch's Cove"
"350",10077,"Sand Dunes (river)"
"351",10445,"Mohave Rock AZ"
"352",10141,"Gauging station (Topock Gorge)"
"353",10162,"Pulpit (river)"
"354",812,"Nevada Egg backwater"
"355",161,"Nevada Egg Cove"
"356",172,"Nine Mile Wash"
"357",229,"Valhalla Cove"
"358",149,"Mesa Cove"
"359",114,"Dandy Cove"
"360",403,"Nevada Larvae backwater"
"361",871,"Dandy Cove backwater"
"362",157,"Nellis Cove"
"363",10058,"Big Bend Conservation Area"
"364",815,"North Nine Mile Coves backwater"
"365",10343,"Red Post Beach"
"366",1014,"Willow backwater"
"367",650,"Honey Hole"
"368",85,"Bill Gayes Cove"
"369",135,"Hog Farm Cove"
"370",211,"Six Mile Coves"
"371",109,"Cottonwood Island Cove"
"372",151,"Mesquite Cove"
"373",10716,"Lake Mohave Basin Central"
"374",134,"Airport Cove"
"375",208,"Sandy Point Cove"
"376",130,"Half-way Wash"
"377",521,"North Basin Light Cove"
"378",833,"Windmill Cove"
"379",217,"Tequila Cove"
"380",820,"Levi Cove"
"381",797,"Carp Cove (south of)"
"382",10717,"Lake Mohave Basin North"
"383",93,"Carp Cove"
"384",596,"Waterwheel Cove"
"385",777,"Box Cove"
"386",952,"Ski Drag Cove"
"387",98,"Cottonwood Cove Landing, Resort and Marina"
"388",520,"Cottontail Cove"
"389",1089,"Solicitor Cove"
"390",77,"Arizona Bay"
"391",281,"Painted Canyon Cove"
"392",88,"Black Butte"
"393",1094,"Yuma Cove (Lakeside)"
"394",515,"Copper Mountain Cove"
"395",222,"Three Mile Flat Area"
"396",124,"Gold and Yuma Coves"
"397",280,"Bass Cove"
"398",10720,"Beaver Shelter"
"399",592,"Yuma Cove backwater"
"400",110,"Cottonwood Valley Cove"
"401",537,"Sand Hole Cove"
"402",125,"Gold Cove"
"403",126,"Golden Door Cove"
"404",112,"Coyote Spring Cove"
"405",95,"Castle Cove"
"406",143,"Klondike Cove"
"407",585,"Rockefeller Cove"
"408",665,"Castle Cliff Light"
"409",196,"Pot Cove"
"410",227,"Two Dollar Cove"
"411",180,"Owl Cove"
"412",76,"Apache Tear Cove"
"413",82,"Basalt Cove"
"414",192,"Perkins Cove"
"415",225,"Twin Coves"
"416",182,"Owl Point Cove"
"417",529,"Sheeptrail Cove"
"418",733,"Opal Cove"
"419",10255,"Antelope Cove"
"420",661,"Porter Mine Cove"
"421",822,"Fire Mountain Light"
"422",534,"Orion Cove"
"423",122,"Fox Cove"
"424",538,"Gold Spike Cove"
"425",159,"Nevada Bay"
"426",664,"Lookout Cove"
"427",533,"Tyee Cove"
"428",458,"Bonnie Brae Cove"
"429",10260,"Heart Break Cove"
"430",117,"Eagle Cove"
"431",283,"Roadrunner Cove"
"432",128,"Great West Cove"
"433",199,"Red Cloud Cove"
"434",734,"Tornado Cove"
"435",478,"Gold Bug Cove"
"436",479,"Power Line Wash"
"437",732,"Aztec Wash"
"438",556,"Burny Cove"
"439",201,"Red Tail Cove"
"440",10594,"Overton Beach"
"441",745,"Red Cap Cove"
"442",969,"Morning Star Cove"
"443",542,"Fire Mountain Cove"
"444",396,"Tule Wash Cove"
"445",817,"Capital Camp Cove"
"446",451,"Millsite Cove"
"447",450,"Dolly Hill Cove"
"448",194,"Placer Cove"
"449",158,"Eldorado Wash"
"450",449,"Oro Cove"
"451",10599,"Nelson's Landing"
